member_id,member_external_id,member_token,dob,gender,state,ssn_masked,full_name
59,MBR000059,tok_636575530,2006-01-26,M,GA,419-**-****,Member059 Last90
60,MBR000060,tok_9817277592,2006-03-17,F,NC,751-**-****,Member060 Last77
61,MBR000061,tok_5686141273,1984-09-23,F,VA,848-**-****,Member061 Last9
62,MBR000062,tok_4373160895,1962-11-28,M,GA,174-**-****,Member062 Last18
63,MBR000063,tok_2631217634,1987-10-17,F,VA,476-**-****,Member063 Last70
64,MBR000064,tok_2140326900,1960-04-29,F,TN,820-**-****,Member064 Last95
65,MBR000065,tok_306073112,1993-01-10,F,GA,186-**-****,Member065 Last46
66,MBR000066,tok_7005371181,1967-09-05,M,NC,977-**-****,Member066 Last112
67,MBR000067,tok_8374039868,1990-05-31,M,NC,611-**-****,Member067 Last111
68,MBR000068,tok_8602906154,1975-10-22,F,FL,491-**-****,Member068 Last85
69,MBR000069,tok_5402816442,1988-11-30,M,FL,723-**-****,Member069 Last2
70,MBR000070,tok_9313066684,1964-11-23,F,NC,754-**-****,Member070 Last12
71,MBR000071,tok_54905536,1993-11-21,F,GA,526-**-****,Member071 Last113
72,MBR000072,tok_355416662,2006-08-01,M,VA,852-**-****,Member072 Last120
73,MBR000073,tok_976730267,1970-03-21,M,VA,958-**-****,Member073 Last60
74,MBR000074,tok_1195536415,1960-12-28,F,FL,626-**-****,Member074 Last97
75,MBR000075,tok_6564463605,1977-03-21,F,GA,189-**-****,Member075 Last77
76,MBR000076,tok_8665212790,1994-08-25,M,NC,815-**-****,Member076 Last30
77,MBR000077,tok_1589883911,1969-08-19,F,VA,729-**-****,Member077 Last100
78,MBR000078,tok_4143378167,2012-10-08,M,GA,111-**-****,Member078 Last115
79,MBR000079,tok_5225103486,1993-08-05,M,GA,794-**-****,Member079 Last19
80,MBR000080,tok_9793241852,1982-03-09,F,FL,871-**-****,Member080 Last22
81,MBR000081,tok_6029733136,2009-06-21,M,TN,552-**-****,Member081 Last120
82,MBR000082,tok_359349105,1973-11-07,M,SC,514-**-****,Member082 Last42
83,MBR000083,tok_7571420093,1989-04-23,M,SC,541-**-****,Member083 Last82
84,MBR000084,tok_4496279969,2004-06-30,F,SC,324-**-****,Member084 Last50
85,MBR000085,tok_3262444443,1970-10-19,M,SC,237-**-****,Member085 Last18
86,MBR000086,tok_2239141783,1964-11-12,M,GA,969-**-****,Member086 Last108
87,MBR000087,tok_8952345529,1960-11-10,F,TN,383-**-****,Member087 Last9
88,MBR000088,tok_816733905,1992-06-02,F,NC,582-**-****,Member088 Last58
89,MBR000089,tok_2228953473,2007-12-08,M,SC,523-**-****,Member089 Last107
90,MBR000090,tok_6868275205,1993-06-28,M,TN,605-**-****,Member090 Last67
91,MBR000091,tok_2571944224,1980-05-04,M,TN,962-**-****,Member091 Last108
92,MBR000092,tok_1552895466,1995-04-18,M,GA,948-**-****,Member092 Last10
93,MBR000093,tok_4889171839,1964-06-17,F,GA,722-**-****,Member093 Last112
94,MBR000094,tok_9319823762,2011-02-26,F,TN,387-**-****,Member094 Last91
95,MBR000095,tok_6357326357,1968-11-24,M,GA,910-**-****,Member095 Last84
96,MBR000096,tok_2586891436,2010-05-07,F,TN,514-**-****,Member096 Last18
97,MBR000097,tok_4321801866,1964-10-17,M,SC,887-**-****,Member097 Last4
98,MBR000098,tok_8002146973,1988-01-24,M,SC,244-**-****,Member098 Last100
99,MBR000099,tok_156553055,1993-10-26,F,TN,557-**-****,Member099 Last15
100,MBR000100,tok_3068568126,2001-11-02,F,TN,770-**-****,Member100 Last69
101,MBR000101,tok_318733723,1999-11-03,M,NC,302-**-****,Member101 Last88
102,MBR000102,tok_7421877430,1998-11-29,F,VA,282-**-****,Member102 Last33
103,MBR000103,tok_5849502387,1979-04-01,F,VA,831-**-****,Member103 Last69
104,MBR000104,tok_7244705402,2013-08-18,F,SC,378-**-****,Member104 Last29
105,MBR000105,tok_3865965210,1964-11-07,M,FL,632-**-****,Member105 Last90
106,MBR000106,tok_838019356,1994-08-01,F,VA,910-**-****,Member106 Last109
107,MBR000107,tok_1842259389,1983-11-17,F,NC,839-**-****,Member107 Last53
108,MBR000108,tok_1490795079,1960-08-29,M,SC,564-**-****,Member108 Last58
109,MBR000109,tok_7838087672,1968-04-17,F,TN,106-**-****,Member109 Last114
110,MBR000110,tok_9685912820,1974-06-28,M,FL,768-**-****,Member110 Last73
111,MBR000111,tok_8830490152,1976-12-01,M,VA,766-**-****,Member111 Last42
112,MBR000112,tok_5137691741,1970-09-23,F,NC,986-**-****,Member112 Last93
113,MBR000113,tok_5074740689,1994-11-16,F,SC,499-**-****,Member113 Last32
114,MBR000114,tok_8890623015,1963-11-28,F,GA,909-**-****,Member114 Last69
115,MBR000115,tok_2995205446,1971-02-02,M,GA,835-**-****,Member115 Last117
116,MBR000116,tok_2332216492,2014-08-26,F,GA,184-**-****,Member116 Last65
117,MBR000117,tok_4296088495,1989-09-24,F,VA,663-**-****,Member117 Last44
118,MBR000118,tok_8813166311,1998-10-22,M,GA,129-**-****,Member118 Last63
119,MBR000119,tok_6030205597,1972-05-28,F,NC,919-**-****,Member119 Last55
120,MBR000120,tok_8367442063,1989-07-22,F,SC,443-**-****,Member120 Last69
121,MBR000121,tok_8211341657,2007-01-05,F,VA,628-**-****,Member121 Last20
122,MBR000122,tok_6687870879,2001-03-29,M,VA,805-**-****,Member122 Last75
123,MBR000123,tok_8854770202,1962-03-29,F,SC,639-**-****,Member123 Last57
124,MBR000124,tok_3365914497,2002-10-10,M,TN,754-**-****,Member124 Last72
125,MBR000125,tok_176576282,2013-01-04,F,FL,963-**-****,Member125 Last66
126,MBR000126,tok_6500125739,1977-01-11,M,GA,490-**-****,Member126 Last86
127,MBR000127,tok_5207036734,1977-03-01,F,GA,244-**-****,Member127 Last109
128,MBR000128,tok_3416755148,1972-07-25,M,FL,305-**-****,Member128 Last64
129,MBR000129,tok_1851301905,2005-03-03,M,FL,615-**-****,Member129 Last15
130,MBR000130,tok_1731308714,2002-03-03,F,FL,128-**-****,Member130 Last49
131,MBR000131,tok_7331656030,1973-10-30,F,FL,510-**-****,Member131 Last118
132,MBR000132,tok_6118237658,1972-04-06,F,VA,807-**-****,Member132 Last12
133,MBR000133,tok_4927929783,1984-10-02,F,NC,651-**-****,Member133 Last120
134,MBR000134,tok_4661559591,1990-04-04,M,VA,919-**-****,Member134 Last118
135,MBR000135,tok_7997316231,2008-04-27,M,GA,584-**-****,Member135 Last32
136,MBR000136,tok_3221417790,1997-10-29,M,SC,544-**-****,Member136 Last44
137,MBR000137,tok_8668498681,2000-02-08,M,FL,211-**-****,Member137 Last41
138,MBR000138,tok_8947829143,1994-05-02,F,VA,130-**-****,Member138 Last80
139,MBR000139,tok_2576521899,1985-02-08,M,SC,897-**-****,Member139 Last90
140,MBR000140,tok_8122745668,1995-09-20,F,NC,259-**-****,Member140 Last25
141,MBR000141,tok_3872531705,1961-01-20,F,NC,390-**-****,Member141 Last88
142,MBR000142,tok_1545834169,2004-08-03,M,TN,350-**-****,Member142 Last46
143,MBR000143,tok_7513422125,1990-08-05,M,NC,848-**-****,Member143 Last64
144,MBR000144,tok_3907724637,1974-10-20,F,FL,356-**-****,Member144 Last80
145,MBR000145,tok_2805136914,2003-10-14,F,TN,999-**-****,Member145 Last68
146,MBR000146,tok_3062046991,1988-05-07,M,NC,748-**-****,Member146 Last49
147,MBR000147,tok_8759916424,1983-06-08,M,FL,263-**-****,Member147 Last79
148,MBR000148,tok_4757491288,1997-05-23,F,TN,753-**-****,Member148 Last69
149,MBR000149,tok_4566247314,1964-10-29,F,FL,971-**-****,Member149 Last28
150,MBR000150,tok_9418540670,1989-09-01,F,SC,858-**-****,Member150 Last118
151,MBR000151,tok_5502760478,1988-11-22,M,SC,717-**-****,Member151 Last41
152,MBR000152,tok_305656710,1988-10-23,M,SC,896-**-****,Member152 Last28
153,MBR000153,tok_6114946386,2002-01-25,F,NC,345-**-****,Member153 Last18
154,MBR000154,tok_4675328032,1985-02-09,F,TN,365-**-****,Member154 Last12
155,MBR000155,tok_9721824261,1989-12-19,M,NC,952-**-****,Member155 Last56
156,MBR000156,tok_4352079556,1991-02-19,M,FL,821-**-****,Member156 Last102
157,MBR000157,tok_8097455927,1984-11-11,F,SC,743-**-****,Member157 Last52
158,MBR000158,tok_4604785738,1988-09-19,F,NC,683-**-****,Member158 Last26
159,MBR000159,tok_1597261835,2009-09-28,M,GA,821-**-****,Member159 Last15
160,MBR000160,tok_1700088566,1965-07-02,M,FL,952-**-****,Member160 Last88
161,MBR000161,tok_2219668490,1991-07-06,F,NC,208-**-****,Member161 Last62
162,MBR000162,tok_9652983248,2004-11-09,F,NC,664-**-****,Member162 Last98
163,MBR000163,tok_1746544603,2001-03-07,M,SC,288-**-****,Member163 Last25
164,MBR000164,tok_1735794282,1980-02-09,F,SC,960-**-****,Member164 Last23
165,MBR000165,tok_744919322,2012-05-25,F,GA,789-**-****,Member165 Last119
166,MBR000166,tok_7564464699,1976-08-17,F,FL,237-**-****,Member166 Last8
167,MBR000167,tok_8222525490,1970-09-08,M,NC,199-**-****,Member167 Last98
168,MBR000168,tok_7759276931,1982-05-01,M,VA,536-**-****,Member168 Last60
169,MBR000169,tok_179890297,2002-09-23,M,VA,715-**-****,Member169 Last27
170,MBR000170,tok_7411536121,2011-10-23,M,NC,817-**-****,Member170 Last82
171,MBR000171,tok_9171208684,1994-01-08,F,SC,517-**-****,Member171 Last24
172,MBR000172,tok_9350919527,1986-10-07,M,GA,479-**-****,Member172 Last95
173,MBR000173,tok_8547185845,1968-01-21,M,SC,269-**-****,Member173 Last78
174,MBR000174,tok_3172516308,1978-02-10,F,FL,115-**-****,Member174 Last102
175,MBR000175,tok_2133993338,1970-02-21,M,NC,962-**-****,Member175 Last103
176,MBR000176,tok_2007597465,2002-02-13,M,FL,295-**-****,Member176 Last77
177,MBR000177,tok_9050355127,2004-05-12,M,GA,219-**-****,Member177 Last36
178,MBR000178,tok_4397821202,1973-08-19,F,VA,437-**-****,Member178 Last18
179,MBR000179,tok_2308371973,2002-03-06,M,VA,285-**-****,Member179 Last98
180,MBR000180,tok_8338693539,1986-11-06,M,SC,289-**-****,Member180 Last93
181,MBR000181,tok_7742327434,1989-02-21,F,GA,580-**-****,Member181 Last39
182,MBR000182,tok_5520615041,1991-11-22,F,NC,464-**-****,Member182 Last114
183,MBR000183,tok_2559276356,1988-07-25,F,SC,782-**-****,Member183 Last35
184,MBR000184,tok_4249877360,2009-10-15,M,GA,775-**-****,Member184 Last28
185,MBR000185,tok_6582787283,1961-04-23,M,FL,645-**-****,Member185 Last24
186,MBR000186,tok_6659776398,2001-04-14,F,VA,609-**-****,Member186 Last66
187,MBR000187,tok_1375529027,1997-07-29,F,TN,880-**-****,Member187 Last16
188,MBR000188,tok_7666572294,1963-07-09,M,FL,217-**-****,Member188 Last3
189,MBR000189,tok_9725125299,1971-11-08,F,TN,362-**-****,Member189 Last31
190,MBR000190,tok_1479987779,1967-03-08,M,VA,151-**-****,Member190 Last65
191,MBR000191,tok_7638066910,1996-08-09,F,TN,111-**-****,Member191 Last49
192,MBR000192,tok_2592582771,1964-08-26,F,GA,382-**-****,Member192 Last33
193,MBR000193,tok_1627487250,1968-06-12,M,FL,620-**-****,Member193 Last70
194,MBR000194,tok_8514540678,1970-01-29,M,FL,966-**-****,Member194 Last73
195,MBR000195,tok_881168980,2013-05-14,F,TN,928-**-****,Member195 Last57
196,MBR000196,tok_5422693259,1983-10-26,F,FL,784-**-****,Member196 Last77
197,MBR000197,tok_4594758384,1960-02-21,F,VA,263-**-****,Member197 Last120
198,MBR000198,tok_4162926706,1976-03-08,M,VA,976-**-****,Member198 Last22
199,MBR000199,tok_6767006828,1992-05-11,M,FL,710-**-****,Member199 Last79
200,MBR000200,tok_9972475399,1991-07-09,F,VA,530-**-****,Member200 Last64
201,MBR000201,tok_9343317525,2011-06-04,M,FL,712-**-****,Member201 Last52
202,MBR000202,tok_5197393071,1975-02-19,M,GA,392-**-****,Member202 Last68
203,MBR000203,tok_2126982853,2002-02-19,M,TN,674-**-****,Member203 Last35
204,MBR000204,tok_2980393621,1964-11-06,M,TN,865-**-****,Member204 Last92
205,MBR000205,tok_7150722309,1995-09-09,M,NC,891-**-****,Member205 Last2
206,MBR000206,tok_1710299711,1993-04-01,F,FL,748-**-****,Member206 Last6
207,MBR000207,tok_5274609808,1992-04-01,F,VA,800-**-****,Member207 Last97
208,MBR000208,tok_5364540181,1986-10-05,M,NC,422-**-****,Member208 Last115
209,MBR000209,tok_3388722185,1994-09-06,M,NC,840-**-****,Member209 Last75
210,MBR000210,tok_8462390160,1985-03-22,M,NC,329-**-****,Member210 Last103
211,MBR000211,tok_4278050193,1988-08-09,M,TN,356-**-****,Member211 Last62
212,MBR000212,tok_7984362545,1973-04-27,F,NC,200-**-****,Member212 Last67
213,MBR000213,tok_9958757960,1987-07-28,M,SC,351-**-****,Member213 Last105
214,MBR000214,tok_9811823503,2011-05-08,F,NC,527-**-****,Member214 Last80
215,MBR000215,tok_5725999946,2008-07-30,M,NC,981-**-****,Member215 Last27
216,MBR000216,tok_7959420880,2005-07-05,F,GA,258-**-****,Member216 Last68
217,MBR000217,tok_6802468094,1976-08-04,F,GA,243-**-****,Member217 Last57
218,MBR000218,tok_8735220230,1989-10-14,M,VA,368-**-****,Member218 Last77
219,MBR000219,tok_6462311637,1995-08-31,M,GA,861-**-****,Member219 Last100
220,MBR000220,tok_6277971644,1999-08-12,F,GA,231-**-****,Member220 Last94
221,MBR000221,tok_1007294825,2008-11-11,F,VA,615-**-****,Member221 Last15
222,MBR000222,tok_6089961880,2002-06-20,M,FL,966-**-****,Member222 Last80
223,MBR000223,tok_5098795141,1976-05-19,M,GA,724-**-****,Member223 Last35
224,MBR000224,tok_782846023,2006-10-27,F,TN,871-**-****,Member224 Last36
225,MBR000225,tok_6512753679,1998-11-05,F,SC,614-**-****,Member225 Last32
226,MBR000226,tok_9845963465,1995-05-13,F,TN,743-**-****,Member226 Last6
227,MBR000227,tok_4784004121,1983-08-18,F,NC,365-**-****,Member227 Last35
228,MBR000228,tok_4830224213,1964-10-27,M,NC,138-**-****,Member228 Last80
229,MBR000229,tok_2810571583,1961-11-29,F,SC,384-**-****,Member229 Last70
230,MBR000230,tok_3661906945,2011-07-25,F,NC,792-**-****,Member230 Last117
231,MBR000231,tok_4566737125,1961-08-04,F,FL,746-**-****,Member231 Last31
232,MBR000232,tok_7695229348,1995-07-04,M,VA,462-**-****,Member232 Last62
233,MBR000233,tok_8244529914,1986-07-28,F,GA,606-**-****,Member233 Last44
234,MBR000234,tok_7024185286,1995-02-08,F,NC,222-**-****,Member234 Last103
235,MBR000235,tok_6900525939,1991-11-04,M,FL,887-**-****,Member235 Last108
236,MBR000236,tok_5268793301,1973-07-20,F,VA,865-**-****,Member236 Last55
237,MBR000237,tok_1238226468,1971-05-09,M,VA,254-**-****,Member237 Last104
238,MBR000238,tok_4498105878,1989-09-24,M,SC,956-**-****,Member238 Last84
239,MBR000239,tok_4920534335,2010-09-16,M,GA,877-**-****,Member239 Last71
240,MBR000240,tok_6824708361,1994-11-28,F,VA,478-**-****,Member240 Last84
241,MBR000241,tok_2993475053,1981-06-16,F,VA,431-**-****,Member241 Last113
242,MBR000242,tok_9755466414,1976-03-10,F,FL,542-**-****,Member242 Last11
243,MBR000243,tok_4952245689,1979-03-21,M,TN,406-**-****,Member243 Last60
244,MBR000244,tok_9869982137,1960-09-30,F,NC,318-**-****,Member244 Last40
245,MBR000245,tok_4793864337,1987-04-14,F,TN,606-**-****,Member245 Last39
246,MBR000246,tok_2963112793,1976-02-16,M,GA,246-**-****,Member246 Last113
247,MBR000247,tok_1341678576,1975-06-11,F,GA,843-**-****,Member247 Last85
248,MBR000248,tok_9159741956,1995-12-16,M,GA,220-**-****,Member248 Last117
249,MBR000249,tok_3962048327,1990-05-16,M,TN,682-**-****,Member249 Last57
250,MBR000250,tok_7532312982,1988-07-14,M,VA,922-**-****,Member250 Last68
251,MBR000251,tok_4941410328,2002-05-03,M,VA,326-**-****,Member251 Last41
252,MBR000252,tok_6542382143,1967-09-26,M,TN,628-**-****,Member252 Last115
253,MBR000253,tok_3964380685,2001-06-14,F,NC,948-**-****,Member253 Last47
254,MBR000254,tok_4560203093,1962-12-19,M,NC,793-**-****,Member254 Last47
255,MBR000255,tok_1123146646,1970-05-23,M,FL,915-**-****,Member255 Last50
256,MBR000256,tok_8941881122,1999-08-06,F,TN,477-**-****,Member256 Last73
257,MBR000257,tok_9029029304,1966-01-14,M,FL,956-**-****,Member257 Last20
258,MBR000258,tok_522814663,1969-06-01,F,SC,877-**-****,Member258 Last12
259,MBR000259,tok_9669993197,1966-02-12,M,GA,122-**-****,Member259 Last104
260,MBR000260,tok_6940225781,2013-02-24,F,FL,657-**-****,Member260 Last8
261,MBR000261,tok_373977465,1976-12-24,F,FL,122-**-****,Member261 Last38
262,MBR000262,tok_7233074976,1987-08-14,M,NC,659-**-****,Member262 Last75
263,MBR000263,tok_4167122123,2003-02-10,M,FL,442-**-****,Member263 Last11
264,MBR000264,tok_6313174727,1962-07-16,F,GA,207-**-****,Member264 Last95
265,MBR000265,tok_7794065616,2000-11-16,M,NC,749-**-****,Member265 Last4
266,MBR000266,tok_3472803619,1967-12-01,F,NC,935-**-****,Member266 Last96
267,MBR000267,tok_8948138412,2014-02-23,M,SC,325-**-****,Member267 Last92
268,MBR000268,tok_8992249267,1998-08-23,M,FL,883-**-****,Member268 Last44
269,MBR000269,tok_2959722022,1990-06-06,M,VA,445-**-****,Member269 Last45
270,MBR000270,tok_756618538,1962-12-25,M,TN,605-**-****,Member270 Last18
271,MBR000271,tok_1943725285,1990-12-01,M,FL,838-**-****,Member271 Last104
272,MBR000272,tok_1566551071,1974-02-28,F,TN,147-**-****,Member272 Last80
273,MBR000273,tok_3000721863,2005-10-13,M,TN,973-**-****,Member273 Last45
274,MBR000274,tok_4906043963,2005-12-28,F,VA,191-**-****,Member274 Last107
275,MBR000275,tok_972038717,1979-11-27,M,FL,124-**-****,Member275 Last82
276,MBR000276,tok_3326591023,1960-04-22,M,TN,921-**-****,Member276 Last2
277,MBR000277,tok_2165925262,2012-05-23,F,VA,530-**-****,Member277 Last119
278,MBR000278,tok_4970182794,1984-04-29,F,SC,266-**-****,Member278 Last95
279,MBR000279,tok_4073080374,1976-10-10,M,TN,428-**-****,Member279 Last22
280,MBR000280,tok_8836864663,2003-05-06,F,VA,641-**-****,Member280 Last55
281,MBR000281,tok_612206654,1972-10-14,M,GA,160-**-****,Member281 Last114
282,MBR000282,tok_7578067352,2000-09-07,M,GA,217-**-****,Member282 Last94
283,MBR000283,tok_3099675659,1983-05-31,M,TN,894-**-****,Member283 Last20
284,MBR000284,tok_1638633663,2000-01-17,F,NC,569-**-****,Member284 Last97
285,MBR000285,tok_9314914400,1987-05-14,F,FL,919-**-****,Member285 Last62
286,MBR000286,tok_2139946794,1970-05-23,F,GA,302-**-****,Member286 Last14
287,MBR000287,tok_2947703247,2001-07-28,F,GA,702-**-****,Member287 Last28
288,MBR000288,tok_2984086280,1979-08-05,F,FL,583-**-****,Member288 Last92
289,MBR000289,tok_2724821107,2014-08-20,F,VA,387-**-****,Member289 Last24
290,MBR000290,tok_3843460663,1981-11-11,M,SC,875-**-****,Member290 Last117
291,MBR000291,tok_5021949954,1989-11-28,M,TN,936-**-****,Member291 Last71
292,MBR000292,tok_4004036465,1978-08-24,M,GA,512-**-****,Member292 Last63
293,MBR000293,tok_1806105097,2009-02-24,M,TN,890-**-****,Member293 Last71
294,MBR000294,tok_2910294156,1974-04-28,F,VA,326-**-****,Member294 Last111
295,MBR000295,tok_8754663158,1982-04-21,M,NC,237-**-****,Member295 Last28
296,MBR000296,tok_148097678,1993-02-28,M,FL,628-**-****,Member296 Last102
297,MBR000297,tok_3714849629,1960-10-11,M,NC,343-**-****,Member297 Last85
298,MBR000298,tok_374121738,1976-01-05,F,VA,480-**-****,Member298 Last116
299,MBR000299,tok_4558913901,2005-05-24,M,SC,531-**-****,Member299 Last92
300,MBR000300,tok_592986173,1981-05-24,F,VA,890-**-****,Member300 Last21
