member_id,member_external_id,first_name,last_name,dob,gender,state,ssn_masked
99,MBR000099,Member099,Last15,1993-10-26,F,TN,557-**-****
100,MBR000100,Member100,Last69,2001-11-02,F,TN,770-**-****
101,MBR000101,Member101,Last88,1999-11-03,M,NC,302-**-****
102,MBR000102,Member102,Last33,1998-11-29,F,VA,282-**-****
103,MBR000103,Member103,Last69,1979-04-01,F,VA,831-**-****
104,MBR000104,Member104,Last29,2013-08-18,F,SC,378-**-****
105,MBR000105,Member105,Last90,1964-11-07,M,FL,632-**-****
106,MBR000106,Member106,Last109,1994-08-01,F,VA,910-**-****
107,MBR000107,Member107,Last53,1983-11-17,F,NC,839-**-****
108,MBR000108,Member108,Last58,1960-08-29,M,SC,564-**-****
109,MBR000109,Member109,Last114,1968-04-17,F,TN,106-**-****
110,MBR000110,Member110,Last73,1974-06-28,M,FL,768-**-****
111,MBR000111,Member111,Last42,1976-12-01,M,VA,766-**-****
112,MBR000112,Member112,Last93,1970-09-23,F,NC,986-**-****
113,MBR000113,Member113,Last32,1994-11-16,F,SC,499-**-****
114,MBR000114,Member114,Last69,1963-11-28,F,GA,909-**-****
115,MBR000115,Member115,Last117,1971-02-02,M,GA,835-**-****
116,MBR000116,Member116,Last65,2014-08-26,F,GA,184-**-****
117,MBR000117,Member117,Last44,1989-09-24,F,VA,663-**-****
118,MBR000118,Member118,Last63,1998-10-22,M,GA,129-**-****
119,MBR000119,Member119,Last55,1972-05-28,F,NC,919-**-****
120,MBR000120,Member120,Last69,1989-07-22,F,SC,443-**-****
121,MBR000121,Member121,Last20,2007-01-05,F,VA,628-**-****
122,MBR000122,Member122,Last75,2001-03-29,M,VA,805-**-****
123,MBR000123,Member123,Last57,1962-03-29,F,SC,639-**-****
124,MBR000124,Member124,Last72,2002-10-10,M,TN,754-**-****
125,MBR000125,Member125,Last66,2013-01-04,F,FL,963-**-****
126,MBR000126,Member126,Last86,1977-01-11,M,GA,490-**-****
127,MBR000127,Member127,Last109,1977-03-01,F,GA,244-**-****
128,MBR000128,Member128,Last64,1972-07-25,M,FL,305-**-****
129,MBR000129,Member129,Last15,2005-03-03,M,FL,615-**-****
130,MBR000130,Member130,Last49,2002-03-03,F,FL,128-**-****
131,MBR000131,Member131,Last118,1973-10-30,F,FL,510-**-****
132,MBR000132,Member132,Last12,1972-04-06,F,VA,807-**-****
133,MBR000133,Member133,Last120,1984-10-02,F,NC,651-**-****
134,MBR000134,Member134,Last118,1990-04-04,M,VA,919-**-****
135,MBR000135,Member135,Last32,2008-04-27,M,GA,584-**-****
136,MBR000136,Member136,Last44,1997-10-29,M,SC,544-**-****
137,MBR000137,Member137,Last41,2000-02-08,M,FL,211-**-****
138,MBR000138,Member138,Last80,1994-05-02,F,VA,130-**-****
139,MBR000139,Member139,Last90,1985-02-08,M,SC,897-**-****
140,MBR000140,Member140,Last25,1995-09-20,F,NC,259-**-****
141,MBR000141,Member141,Last88,1961-01-20,F,NC,390-**-****
142,MBR000142,Member142,Last46,2004-08-03,M,TN,350-**-****
143,MBR000143,Member143,Last64,1990-08-05,M,NC,848-**-****
144,MBR000144,Member144,Last80,1974-10-20,F,FL,356-**-****
145,MBR000145,Member145,Last68,2003-10-14,F,TN,999-**-****
146,MBR000146,Member146,Last49,1988-05-07,M,NC,748-**-****
147,MBR000147,Member147,Last79,1983-06-08,M,FL,263-**-****
148,MBR000148,Member148,Last69,1997-05-23,F,TN,753-**-****
149,MBR000149,Member149,Last28,1964-10-29,F,FL,971-**-****
150,MBR000150,Member150,Last118,1989-09-01,F,SC,858-**-****
151,MBR000151,Member151,Last41,1988-11-22,M,SC,717-**-****
152,MBR000152,Member152,Last28,1988-10-23,M,SC,896-**-****
153,MBR000153,Member153,Last18,2002-01-25,F,NC,345-**-****
154,MBR000154,Member154,Last12,1985-02-09,F,TN,365-**-****
155,MBR000155,Member155,Last56,1989-12-19,M,NC,952-**-****
156,MBR000156,Member156,Last102,1991-02-19,M,FL,821-**-****
157,MBR000157,Member157,Last52,1984-11-11,F,SC,743-**-****
158,MBR000158,Member158,Last26,1988-09-19,F,NC,683-**-****
159,MBR000159,Member159,Last15,2009-09-28,M,GA,821-**-****
160,MBR000160,Member160,Last88,1965-07-02,M,FL,952-**-****
161,MBR000161,Member161,Last62,1991-07-06,F,NC,208-**-****
162,MBR000162,Member162,Last98,2004-11-09,F,NC,664-**-****
163,MBR000163,Member163,Last25,2001-03-07,M,SC,288-**-****
164,MBR000164,Member164,Last23,1980-02-09,F,SC,960-**-****
165,MBR000165,Member165,Last119,2012-05-25,F,GA,789-**-****
166,MBR000166,Member166,Last8,1976-08-17,F,FL,237-**-****
167,MBR000167,Member167,Last98,1970-09-08,M,NC,199-**-****
168,MBR000168,Member168,Last60,1982-05-01,M,VA,536-**-****
169,MBR000169,Member169,Last27,2002-09-23,M,VA,715-**-****
170,MBR000170,Member170,Last82,2011-10-23,M,NC,817-**-****
171,MBR000171,Member171,Last24,1994-01-08,F,SC,517-**-****
172,MBR000172,Member172,Last95,1986-10-07,M,GA,479-**-****
173,MBR000173,Member173,Last78,1968-01-21,M,SC,269-**-****
174,MBR000174,Member174,Last102,1978-02-10,F,FL,115-**-****
175,MBR000175,Member175,Last103,1970-02-21,M,NC,962-**-****
176,MBR000176,Member176,Last77,2002-02-13,M,FL,295-**-****
177,MBR000177,Member177,Last36,2004-05-12,M,GA,219-**-****
178,MBR000178,Member178,Last18,1973-08-19,F,VA,437-**-****
179,MBR000179,Member179,Last98,2002-03-06,M,VA,285-**-****
180,MBR000180,Member180,Last93,1986-11-06,M,SC,289-**-****
181,MBR000181,Member181,Last39,1989-02-21,F,GA,580-**-****
182,MBR000182,Member182,Last114,1991-11-22,F,NC,464-**-****
183,MBR000183,Member183,Last35,1988-07-25,F,SC,782-**-****
184,MBR000184,Member184,Last28,2009-10-15,M,GA,775-**-****
185,MBR000185,Member185,Last24,1961-04-23,M,FL,645-**-****
186,MBR000186,Member186,Last66,2001-04-14,F,VA,609-**-****
187,MBR000187,Member187,Last16,1997-07-29,F,TN,880-**-****
188,MBR000188,Member188,Last3,1963-07-09,M,FL,217-**-****
189,MBR000189,Member189,Last31,1971-11-08,F,TN,362-**-****
190,MBR000190,Member190,Last65,1967-03-08,M,VA,151-**-****
191,MBR000191,Member191,Last49,1996-08-09,F,TN,111-**-****
192,MBR000192,Member192,Last33,1964-08-26,F,GA,382-**-****
193,MBR000193,Member193,Last70,1968-06-12,M,FL,620-**-****
194,MBR000194,Member194,Last73,1970-01-29,M,FL,966-**-****
195,MBR000195,Member195,Last57,2013-05-14,F,TN,928-**-****
196,MBR000196,Member196,Last77,1983-10-26,F,FL,784-**-****
197,MBR000197,Member197,Last120,1960-02-21,F,VA,263-**-****
198,MBR000198,Member198,Last22,1976-03-08,M,VA,976-**-****
199,MBR000199,Member199,Last79,1992-05-11,M,FL,710-**-****
200,MBR000200,Member200,Last64,1991-07-09,F,VA,530-**-****
201,MBR000201,Member201,Last52,2011-06-04,M,FL,712-**-****
202,MBR000202,Member202,Last68,1975-02-19,M,GA,392-**-****
203,MBR000203,Member203,Last35,2002-02-19,M,TN,674-**-****
204,MBR000204,Member204,Last92,1964-11-06,M,TN,865-**-****
205,MBR000205,Member205,Last2,1995-09-09,M,NC,891-**-****
206,MBR000206,Member206,Last6,1993-04-01,F,FL,748-**-****
207,MBR000207,Member207,Last97,1992-04-01,F,VA,800-**-****
208,MBR000208,Member208,Last115,1986-10-05,M,NC,422-**-****
209,MBR000209,Member209,Last75,1994-09-06,M,NC,840-**-****
210,MBR000210,Member210,Last103,1985-03-22,M,NC,329-**-****
211,MBR000211,Member211,Last62,1988-08-09,M,TN,356-**-****
212,MBR000212,Member212,Last67,1973-04-27,F,NC,200-**-****
213,MBR000213,Member213,Last105,1987-07-28,M,SC,351-**-****
214,MBR000214,Member214,Last80,2011-05-08,F,NC,527-**-****
215,MBR000215,Member215,Last27,2008-07-30,M,NC,981-**-****
216,MBR000216,Member216,Last68,2005-07-05,F,GA,258-**-****
217,MBR000217,Member217,Last57,1976-08-04,F,GA,243-**-****
218,MBR000218,Member218,Last77,1989-10-14,M,VA,368-**-****
219,MBR000219,Member219,Last100,1995-08-31,M,GA,861-**-****
220,MBR000220,Member220,Last94,1999-08-12,F,GA,231-**-****
221,MBR000221,Member221,Last15,2008-11-11,F,VA,615-**-****
222,MBR000222,Member222,Last80,2002-06-20,M,FL,966-**-****
223,MBR000223,Member223,Last35,1976-05-19,M,GA,724-**-****
224,MBR000224,Member224,Last36,2006-10-27,F,TN,871-**-****
225,MBR000225,Member225,Last32,1998-11-05,F,SC,614-**-****
226,MBR000226,Member226,Last6,1995-05-13,F,TN,743-**-****
227,MBR000227,Member227,Last35,1983-08-18,F,NC,365-**-****
228,MBR000228,Member228,Last80,1964-10-27,M,NC,138-**-****
229,MBR000229,Member229,Last70,1961-11-29,F,SC,384-**-****
230,MBR000230,Member230,Last117,2011-07-25,F,NC,792-**-****
231,MBR000231,Member231,Last31,1961-08-04,F,FL,746-**-****
232,MBR000232,Member232,Last62,1995-07-04,M,VA,462-**-****
233,MBR000233,Member233,Last44,1986-07-28,F,GA,606-**-****
234,MBR000234,Member234,Last103,1995-02-08,F,NC,222-**-****
235,MBR000235,Member235,Last108,1991-11-04,M,FL,887-**-****
236,MBR000236,Member236,Last55,1973-07-20,F,VA,865-**-****
237,MBR000237,Member237,Last104,1971-05-09,M,VA,254-**-****
238,MBR000238,Member238,Last84,1989-09-24,M,SC,956-**-****
239,MBR000239,Member239,Last71,2010-09-16,M,GA,877-**-****
240,MBR000240,Member240,Last84,1994-11-28,F,VA,478-**-****
241,MBR000241,Member241,Last113,1981-06-16,F,VA,431-**-****
242,MBR000242,Member242,Last11,1976-03-10,F,FL,542-**-****
243,MBR000243,Member243,Last60,1979-03-21,M,TN,406-**-****
244,MBR000244,Member244,Last40,1960-09-30,F,NC,318-**-****
245,MBR000245,Member245,Last39,1987-04-14,F,TN,606-**-****
246,MBR000246,Member246,Last113,1976-02-16,M,GA,246-**-****
247,MBR000247,Member247,Last85,1975-06-11,F,GA,843-**-****
248,MBR000248,Member248,Last117,1995-12-16,M,GA,220-**-****
249,MBR000249,Member249,Last57,1990-05-16,M,TN,682-**-****
250,MBR000250,Member250,Last68,1988-07-14,M,VA,922-**-****
251,MBR000251,Member251,Last41,2002-05-03,M,VA,326-**-****
252,MBR000252,Member252,Last115,1967-09-26,M,TN,628-**-****
253,MBR000253,Member253,Last47,2001-06-14,F,NC,948-**-****
254,MBR000254,Member254,Last47,1962-12-19,M,NC,793-**-****
255,MBR000255,Member255,Last50,1970-05-23,M,FL,915-**-****
256,MBR000256,Member256,Last73,1999-08-06,F,TN,477-**-****
257,MBR000257,Member257,Last20,1966-01-14,M,FL,956-**-****
258,MBR000258,Member258,Last12,1969-06-01,F,SC,877-**-****
259,MBR000259,Member259,Last104,1966-02-12,M,GA,122-**-****
260,MBR000260,Member260,Last8,2013-02-24,F,FL,657-**-****
261,MBR000261,Member261,Last38,1976-12-24,F,FL,122-**-****
262,MBR000262,Member262,Last75,1987-08-14,M,NC,659-**-****
263,MBR000263,Member263,Last11,2003-02-10,M,FL,442-**-****
264,MBR000264,Member264,Last95,1962-07-16,F,GA,207-**-****
265,MBR000265,Member265,Last4,2000-11-16,M,NC,749-**-****
266,MBR000266,Member266,Last96,1967-12-01,F,NC,935-**-****
267,MBR000267,Member267,Last92,2014-02-23,M,SC,325-**-****
268,MBR000268,Member268,Last44,1998-08-23,M,FL,883-**-****
269,MBR000269,Member269,Last45,1990-06-06,M,VA,445-**-****
270,MBR000270,Member270,Last18,1962-12-25,M,TN,605-**-****
271,MBR000271,Member271,Last104,1990-12-01,M,FL,838-**-****
272,MBR000272,Member272,Last80,1974-02-28,F,TN,147-**-****
273,MBR000273,Member273,Last45,2005-10-13,M,TN,973-**-****
274,MBR000274,Member274,Last107,2005-12-28,F,VA,191-**-****
275,MBR000275,Member275,Last82,1979-11-27,M,FL,124-**-****
276,MBR000276,Member276,Last2,1960-04-22,M,TN,921-**-****
277,MBR000277,Member277,Last119,2012-05-23,F,VA,530-**-****
278,MBR000278,Member278,Last95,1984-04-29,F,SC,266-**-****
279,MBR000279,Member279,Last22,1976-10-10,M,TN,428-**-****
280,MBR000280,Member280,Last55,2003-05-06,F,VA,641-**-****
281,MBR000281,Member281,Last114,1972-10-14,M,GA,160-**-****
282,MBR000282,Member282,Last94,2000-09-07,M,GA,217-**-****
283,MBR000283,Member283,Last20,1983-05-31,M,TN,894-**-****
284,MBR000284,Member284,Last97,2000-01-17,F,NC,569-**-****
285,MBR000285,Member285,Last62,1987-05-14,F,FL,919-**-****
286,MBR000286,Member286,Last14,1970-05-23,F,GA,302-**-****
287,MBR000287,Member287,Last28,2001-07-28,F,GA,702-**-****
288,MBR000288,Member288,Last92,1979-08-05,F,FL,583-**-****
289,MBR000289,Member289,Last24,2014-08-20,F,VA,387-**-****
290,MBR000290,Member290,Last117,1981-11-11,M,SC,875-**-****
291,MBR000291,Member291,Last71,1989-11-28,M,TN,936-**-****
292,MBR000292,Member292,Last63,1978-08-24,M,GA,512-**-****
293,MBR000293,Member293,Last71,2009-02-24,M,TN,890-**-****
294,MBR000294,Member294,Last111,1974-04-28,F,VA,326-**-****
295,MBR000295,Member295,Last28,1982-04-21,M,NC,237-**-****
296,MBR000296,Member296,Last102,1993-02-28,M,FL,628-**-****
297,MBR000297,Member297,Last85,1960-10-11,M,NC,343-**-****
298,MBR000298,Member298,Last116,1976-01-05,F,VA,480-**-****
299,MBR000299,Member299,Last92,2005-05-24,M,SC,531-**-****
300,MBR000300,Member300,Last21,1981-05-24,F,VA,890-**-****
